Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
Maji-Kyun! Renaissance,Adventure,PSV,Broccoli,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,21st Sep 16
Cross Channel: In Memory of All People,Adventure,X360,CyberFront,KID Corporation,N/A,0.02m,N/A,N/A,0.02m,N/A,14th Apr 11
Clannad: Mitsumi Mamoru Sakamichi de - Joukan,Adventure,PSP,Prototype,Visual Arts,N/A,0.02m,N/A,N/A,0.02m,N/A,03rd Jun 10
Are You Alice?,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,07th Apr 11
Okashi na Shima no Peter Pan: Sweet Never Land,Adventure,PSP,Quinrose,QuinRose,N/A,0.02m,N/A,N/A,0.02m,N/A,06th Oct 11
Syberia III,Adventure,XOne,Microids,Unknown,N/A,0.02m,0.02m,N/A,N/A,0.00m,25th Apr 17
Gift: Prism,Adventure,PS2,Sweets,Moonstone,N/A,0.02m,N/A,N/A,0.02m,N/A,19th Oct 06
Inkheart,Adventure,DS,DreamCatcher Interactive,The Adventure Company,N/A,0.02m,0.02m,N/A,N/A,0.00m,12th Jan 09
Captain Morgane and the Golden Turtle,Adventure,PS3,Reef Entertainment,WizarBox,N/A,0.02m,N/A,0.02m,N/A,0.00m,03rd Feb 12
Vitamin Z Revolution,Adventure,PSP,D3 Publisher,HuneX,N/A,0.02m,N/A,N/A,0.02m,N/A,25th Mar 10
Aria: The Origination ~Aoi Wakusei no El Cielo~,Adventure,PS2,Alchemist,Regista,N/A,0.02m,N/A,N/A,0.02m,N/A,26th Jun 08
Zero no Tsukaima: Shou-akuma to Harukaze no Concerto,Adventure,PS2,Marvelous Interactive,Marvelous Interactive,N/A,0.02m,N/A,N/A,0.02m,N/A,15th Feb 07
Suzumiya Haruhi no Heiretsu,Adventure,Wii,Sega,Sega,N/A,0.02m,N/A,N/A,0.02m,N/A,26th Mar 09
Nanatsuiro * Drops Pure!!,Adventure,PS2,Media Works,UNiSONSHIFT,N/A,0.02m,N/A,N/A,0.02m,N/A,20th Sep 07
Ghost Pirates of Vooju Island,Adventure,PC,DTP Entertainment,Autumn Moon,N/A,0.02m,N/A,0.02m,N/A,0.00m,06th Nov 09
Zero Escape The Nonary Games,Adventure,PSV,Aksys Games,Spike Chunsoft,N/A,0.02m,0.01m,N/A,0.01m,0.00m,24th Mar 17
L.A. Noire: The Complete Edition,Adventure,PS3,Rockstar Games,Rockstar Leeds,N/A,0.02m,N/A,0.02m,N/A,0.01m,15th Nov 11
Dynamic Chord feat. Reve Parfait: V Edition,Adventure,PSV,honeybee,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Sep 16
Vampire Mansion: Linda Hyde,Adventure,DS,Unknown,Easy Interactive,N/A,0.02m,N/A,0.02m,N/A,0.00m,01st Sep 11
Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,Adventure,PS2,Minato Station,Minato Station,N/A,0.02m,N/A,N/A,0.02m,N/A,27th Mar 08
American McGee presents ScrapLand,Adventure,XB,Enlight,Mercury Steam Entertainment,N/A,0.02m,0.02m,0.00m,N/A,0.00m,28th Feb 05
Harukanaru Toki no Naka de 3 with Izayoiki Aizouban,Adventure,PSP,KOEI,Koei,N/A,0.02m,N/A,N/A,0.02m,N/A,19th Mar 09
D.Gray-man: Sousha no Shikaku,Adventure,PS2,Konami,Konami,N/A,0.02m,N/A,N/A,0.02m,N/A,11th Sep 08
Ookami to Koushinryou: Omiowataru Kaze,Adventure,DS,ASCII Media Works,ASCII Media Works,N/A,0.02m,N/A,N/A,0.02m,N/A,17th Sep 09
ABZU,Adventure,XOne,505 Games,Giant Squid Studios,N/A,0.02m,0.02m,N/A,N/A,0.00m,31st Jan 17
School Days LxH,Adventure,PS2,Interchannel,0verflow,N/A,0.02m,N/A,N/A,0.02m,N/A,17th Jan 08
Yuukyuu no Tierblade: Lost Chronicle,Adventure,PSV,Idea Factory,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,08th Sep 16
Neo Angelique,Adventure,PS2,KOEI,Koei,N/A,0.02m,N/A,N/A,0.02m,N/A,04th Mar 06
Chaos;Head Noah,Adventure,PSP,5pb,Genterprise,N/A,0.02m,N/A,N/A,0.02m,N/A,24th Jun 10
Akogare Girls Collection: Pika Pika Nurse Monogatari - Shounika Haitsumo Oosawagi,Adventure,DS,Nippon Columbia,Nippon Columbia,N/A,0.02m,N/A,N/A,0.02m,N/A,10th Nov 16
Geten no Hana with Yume Akari: Aizouban,Adventure,PSV,Tecmo Koei,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,08th Sep 16
Princess Saver! Eternal Love for My Lady,Adventure,PS2,Comfort,Ricotta,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Jan 10
Twinkle * Crusaders GoGo!,Adventure,PSP,ASCII Media Works,ASCII Media Works,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Sep 10
Ceville,Adventure,PC,Kalypso,Realmforge Studios,N/A,0.02m,N/A,0.02m,N/A,0.00m,09th Apr 09
The Lurking Horror,Adventure,PC,Infocom,"Infocom, Inc.",0.02m,N/A,N/A,N/A,N/A,N/A,01st Jan 87
Broken Sword 5: The Serpent's Curse,Adventure,XOne,Revolution Software,Revolution Software,N/A,0.02m,N/A,0.02m,N/A,0.00m,04th Sep 15
Natalie Brooks: Mystery at Hillcrest High,Adventure,DS,Licensed 4U,"Alawar Entertainment, Inc.",N/A,0.02m,N/A,0.02m,N/A,0.00m,06th Apr 12
Hoshiori Yume Mirai: Converted Edition,Adventure,PSV,Prototype,Unknown,N/A,0.02m,N/A,N/A,0.02m,N/A,10th Aug 16
428: Fuusa Sareta Shibuya de,Adventure,PS3,Spike,ChunSoft,N/A,0.02m,N/A,N/A,0.02m,N/A,03rd Sep 09
Zathura,Adventure,XB,2K Games,High Voltage Software,N/A,0.02m,0.02m,0.00m,N/A,0.00m,02nd Nov 05
Happiness! De-Lucks,Adventure,PS2,Marvelous Interactive,Marvelous Interactive,N/A,0.02m,N/A,N/A,0.02m,N/A,25th Jan 07
Yunohana Spring! Cherishing Time,Adventure,PSV,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,15th Sep 16
Doki Majo Plus,Adventure,DS,SNK Playmore,SNK Playmore Corporation,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Jul 09
Love Once: Mermaid's Tears,Adventure,PS3,Unknown,Silicon Studio,N/A,0.02m,N/A,N/A,0.02m,N/A,24th Feb 11
Dream Chronicles,Adventure,DS,Zoo Games,Kat Games,N/A,0.02m,0.02m,N/A,N/A,0.00m,02nd Mar 10
Heart no Kuni no Alice Anniversary Ver.: Wonderful Wonder World,Adventure,PSP,Quinrose,QuinRose,N/A,0.02m,N/A,N/A,0.02m,N/A,28th Jul 11
Casper's Scare School: Classroom Capers,Adventure,DS,Crave Entertainment,Nikitova Games,N/A,0.02m,0.02m,0.00m,N/A,0.00m,26th Oct 10
Akai Ito DS,Adventure,DS,Alchemist,Alchemist,N/A,0.02m,N/A,N/A,0.02m,N/A,25th Dec 08
Natsuiro no Sunadokei,Adventure,PS2,Princess Soft,Princess Soft,N/A,0.02m,N/A,N/A,0.02m,N/A,30th May 02
Koisuru Otome to Shugo no Tate: The Shield of AIGIS,Adventure,PS2,Alchemist,Alchemist,N/A,0.02m,N/A,N/A,0.02m,N/A,20th Nov 08
Moujuutsukai to Oujisama Portable,Adventure,PSP,Idea Factory,Idea Factory,N/A,0.02m,N/A,N/A,0.02m,N/A,30th Jun 11
Indigo Prophecy,Adventure,PC,Atari,Quantic Dream,N/A,0.02m,N/A,0.02m,N/A,0.00m,02nd Oct 05
Otome wa Oanesama Boku ni Koi Shiteru Portable,Adventure,PSP,Alchemist,Alchemist,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Apr 10
Kuon,Adventure,PS2,Agetec,From Software,N/A,0.02m,0.01m,0.01m,N/A,0.00m,07th Dec 04
Umineko no Naku Koro ni: Majo to Suiri no Rinbukyoku,Adventure,PS3,Alchemist,Alchemist,N/A,0.02m,N/A,N/A,0.02m,N/A,16th Dec 10
Minecraft: Story Mode - Season Two,Adventure,PC,Telltale Games,Telltale Games,N/A,0.02m,N/A,0.02m,N/A,0.00m,19th Sep 17
Carmen Sandiego: The Secret of the Stolen Drums,Adventure,GC,BAM! Entertainment,Artificial Mind and Movement,N/A,0.02m,0.02m,0.00m,N/A,0.00m,13th Sep 04
Dragon's Lair,Adventure,DS,Destineer,United Coders,N/A,0.02m,0.02m,N/A,N/A,0.00m,16th Nov 10
