Video Game Title,Genre,Console,Publishers(s),Developer(s),Units Sold,Total Sales,NA Sales,PAL Sales,JP Sales,Other Sales,Release Date
The Walking Dead: Telltale Games Series,Adventure,Series,Telltale Games,Telltale Games,50.00m,N/A,N/A,N/A,N/A,N/A,24th Apr 12
Professor Layton,Adventure,Series,Nintendo,Level-5,18.00m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
Myst,Adventure,Series,Broderbund,"Cyan, Inc.",12.50m,N/A,N/A,N/A,N/A,N/A,24th Sep 93
Ace Attorney,Adventure,Series,Capcom,Capcom,11.00m,N/A,N/A,N/A,N/A,N/A,12th Oct 05
Broken Sword,Adventure,Series,Virgin Interactive,Revolution Software,10.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 96
Detroit: Become Human,Adventure,All,Sony Interactive Entertainment,Quantic Dream,9.00m,N/A,N/A,N/A,N/A,N/A,25th May 18
The Legend of Zelda: Ocarina of Time,Adventure,N64,Nintendo,Nintendo EAD,7.60m,N/A,N/A,N/A,N/A,N/A,23rd Nov 98
The Legend of Zelda: Twilight Princess,Adventure,Wii,Nintendo,Nintendo EAD,7.50m,N/A,N/A,N/A,N/A,N/A,19th Nov 06
King's Quest,Adventure,Series,Sierra Online,On-Line Systems,7.00m,N/A,N/A,N/A,N/A,N/A,10th May 84
The Legend of Zelda,Adventure,NES,Nintendo,Nintendo EAD,6.51m,N/A,N/A,N/A,N/A,N/A,22nd Aug 87
Luigi's Mansion: Dark Moon,Adventure,3DS,Nintendo,Next Level Games,6.48m,N/A,N/A,N/A,N/A,N/A,24th Mar 13
The Legend of Zelda: Ocarina of Time 3D,Adventure,3DS,Nintendo,GREZZO,6.44m,N/A,N/A,N/A,N/A,N/A,19th Jun 11
Myst,Adventure,PC,Broderbund,Cyan Worlds,6.30m,N/A,N/A,N/A,N/A,N/A,01st Jan 95
Detroit: Become Human,Adventure,PS4,Sony Interactive Entertainment,Quantic Dream,5.50m,N/A,N/A,N/A,N/A,N/A,25th May 18
Heavy Rain,Adventure,All,Sony Computer Entertainment,Quantic Dream,5.30m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10
Tomb Raider II,Adventure,PS,Eidos Interactive,Core Design Ltd.,N/A,5.24m,2.30m,2.46m,0.20m,0.28m,31st Oct 97
Subnautica,Adventure,Series,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5.23m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
Subnautica,Adventure,All,Unknown Worlds Entertainment,Unknown Worlds Entertainment,5.23m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
Danganronpa,Adventure,Series,NIS America,Spike Chunsoft,5.00m,N/A,N/A,N/A,N/A,N/A,11th Feb 14
L.A. Noire,Adventure,All,Rockstar Games,Team Bondi,5.00m,N/A,N/A,N/A,N/A,N/A,17th May 11
The Legend of Zelda: Phantom Hourglass,Adventure,DS,Nintendo,Nintendo EAD,4.76m,N/A,N/A,N/A,N/A,N/A,02nd Oct 07
The Legend of Zelda: A Link to the Past,Adventure,SNES,Nintendo,Nintendo EAD,4.61m,N/A,N/A,N/A,N/A,N/A,13th Apr 92
Riven: The Sequel to Myst,Adventure,PC,Red Orb,Cyan Worlds,4.50m,N/A,N/A,N/A,N/A,N/A,29th Oct 97
Professor Layton and the Curious Village,Adventure,DS,Nintendo,Level 5,4.49m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
The Legend of Zelda: The Wind Waker,Adventure,GC,Nintendo,Nintendo EAD,4.43m,N/A,N/A,N/A,N/A,N/A,26th Mar 03
Zelda II: The Adventure of Link,Adventure,NES,Nintendo,Nintendo EAD,4.38m,N/A,N/A,N/A,N/A,N/A,01st Sep 88
The Legend of Zelda: A Link Between Worlds,Adventure,3DS,Nintendo,Nintendo EAD,4.24m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13
Until Dawn,Adventure,PS4,Sony Computer Entertainment,Supermassive Games Ltd.,4.04m,N/A,N/A,N/A,N/A,N/A,25th Aug 15
The Legend of Zelda: Oracle of Ages / Seasons,Adventure,GBC,Nintendo,Capcom,3.99m,N/A,N/A,N/A,N/A,N/A,13th May 01
Professor Layton and the Diabolical Box,Adventure,DS,Nintendo,Level 5,3.88m,N/A,N/A,N/A,N/A,N/A,24th Aug 09
The Legend of Zelda: Link's Awakening,Adventure,GB,Nintendo,Nintendo EAD,3.83m,N/A,N/A,N/A,N/A,N/A,01st Aug 93
LEGO Indiana Jones: The Original Adventures,Adventure,X360,LucasArts,Traveller's Tales,N/A,3.76m,2.40m,1.01m,N/A,0.36m,03rd Jun 08
The Legend of Zelda: Skyward Sword,Adventure,Wii,Nintendo,Nintendo EAD,3.67m,N/A,N/A,N/A,N/A,N/A,20th Nov 11
Tomb Raider III: Adventures of Lara Croft,Adventure,PS,Eidos Interactive,Core Design Ltd.,N/A,3.54m,1.66m,1.58m,0.12m,0.18m,21st Nov 98
LEGO Batman: The Videogame,Adventure,X360,Warner Bros. Interactive,Traveller's Tales,N/A,3.44m,2.07m,1.04m,N/A,0.34m,23rd Sep 08
The Legend of Zelda: Majora's Mask,Adventure,N64,Nintendo,Nintendo EAD,3.36m,N/A,N/A,N/A,N/A,N/A,25th Oct 00
Phoenix Wright: Ace Attorney Trilogy,Adventure,All,Capcom,Capcom,3.30m,N/A,N/A,N/A,N/A,N/A,09th Dec 14
L.A. Noire,Adventure,PS3,Rockstar Games,Team Bondi,N/A,3.21m,1.29m,1.31m,0.12m,0.49m,15th Nov 11
Club Penguin: Elite Penguin Force,Adventure,DS,Disney Interactive Studios,1st Playable Productions,N/A,3.14m,1.87m,0.97m,N/A,0.30m,25th Nov 08
LEGO Batman: The Videogame,Adventure,Wii,Warner Bros. Interactive,Traveller's Tales,N/A,3.08m,1.80m,0.98m,N/A,0.29m,23rd Sep 08
LEGO Batman: The Videogame,Adventure,DS,Warner Bros. Interactive,Traveller's Tales,N/A,3.06m,1.75m,1.02m,N/A,0.29m,23rd Sep 08
Professor Layton and the Unwound Future,Adventure,DS,Nintendo,Level 5,3.02m,N/A,N/A,N/A,N/A,N/A,12th Sep 10
Frogwares' Sherlock Holmes,Adventure,Series,The Adventure Company,Frogwares,3.00m,N/A,N/A,N/A,N/A,N/A,22nd Jan 03
Heavy Rain,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,3.00m,N/A,N/A,N/A,N/A,N/A,23rd Feb 10
Life is Strange,Adventure,All,Square Enix,DONTNOD Entertainment,3.00m,N/A,N/A,N/A,N/A,N/A,30th Jan 15
Pajama Sam,Adventure,Series,Humongous Entertainment,Humongous Entertainment,3.00m,N/A,N/A,N/A,N/A,N/A,06th Aug 96
Syberia,Adventure,Series,Microids,Microids,3.00m,N/A,N/A,N/A,N/A,N/A,09th Jan 02
The Legend of Zelda: Spirit Tracks,Adventure,DS,Nintendo,Nintendo EAD,2.96m,N/A,N/A,N/A,N/A,N/A,07th Dec 09
Subnautica,Adventure,PC,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2.87m,N/A,N/A,N/A,N/A,N/A,23rd Jan 18
The Walking Dead: A Telltale Games Series,Adventure,PC,Telltale Games,Telltale Games,2.85m,N/A,N/A,N/A,N/A,N/A,11th Dec 12
The Legend of Zelda: A Link to the Past,Adventure,GBA,Nintendo,"Flagship Co., Ltd. / Nintendo EAD",2.82m,N/A,N/A,N/A,N/A,N/A,03rd Dec 02
L.A. Noire,Adventure,X360,Rockstar Games,Team Bondi,N/A,2.73m,1.55m,0.92m,0.02m,0.24m,15th Nov 11
Metroid,Adventure,NES,Nintendo,Nintendo R&D1,2.73m,N/A,N/A,N/A,N/A,N/A,15th Aug 87
Harry Potter and the Chamber of Secrets,Adventure,PS2,Electronic Arts,Eurocom Entertainment Software,N/A,2.61m,0.90m,1.22m,0.04m,0.44m,14th Nov 02
Grand Theft Auto: Episodes from Liberty City,Adventure,X360,Rockstar Games,Rockstar North,N/A,2.60m,1.08m,1.22m,0.03m,0.27m,29th Oct 09
Detroit: Become Human,Adventure,PC,Quantic Dream,Quantic Dream,2.50m,N/A,N/A,N/A,N/A,N/A,12th Dec 19
Firewatch,Adventure,All,Panic,Campo Santo,2.50m,N/A,N/A,N/A,N/A,N/A,09th Feb 16
Rise of the Tomb Raider,Adventure,PC,Square Enix,Crystal Dynamics,2.49m,N/A,N/A,N/A,N/A,N/A,28th Jan 16
LEGO Harry Potter: Years 1-4,Adventure,Wii,Warner Bros. Interactive,Traveller's Tales,N/A,2.45m,1.29m,0.94m,N/A,0.22m,29th Jun 10
CSI: Crime Scene Investigation,Adventure,Series,Ubisoft,369 Interactive,2.40m,N/A,N/A,N/A,N/A,N/A,26th Mar 03
Frogger's Adventures: Temple of the Frog,Adventure,GBA,Konami,Konami,N/A,2.39m,2.15m,0.18m,N/A,0.07m,24th Oct 01
LEGO Indiana Jones: The Original Adventures,Adventure,Wii,LucasArts,Traveller's Tales,N/A,2.35m,1.51m,0.62m,N/A,0.22m,03rd Jun 08
LEGO Harry Potter: Years 1-4,Adventure,DS,Warner Bros. Interactive,Traveller's Tales,N/A,2.29m,1.07m,1.00m,N/A,0.22m,29th Jun 10
Tomb Raider II,Adventure,PC,Eidos Interactive,Core Design Ltd.,N/A,2.29m,0.91m,1.25m,N/A,0.13m,31st Oct 97
Prince of Persia: The Sands of Time,Adventure,PS2,Ubisoft,Ubisoft Montreal,N/A,2.22m,0.88m,1.03m,N/A,0.31m,06th Nov 03
The Legend of Zelda: Link's Awakening DX,Adventure,GBC,Nintendo,Nintendo EAD,2.22m,N/A,N/A,N/A,N/A,N/A,31st Oct 98
LEGO Indiana Jones: The Original Adventures,Adventure,DS,LucasArts,Traveller's Tales,N/A,2.20m,1.40m,0.60m,N/A,0.21m,03rd Jun 08
Deponia,Adventure,Series,Daedalic Entertainment,Daedalic Entertainment,2.20m,N/A,N/A,N/A,N/A,N/A,06th Aug 12
Onimusha 2: Samurai's Destiny,Adventure,PS2,Capcom,Capcom,2.10m,N/A,N/A,N/A,N/A,N/A,28th Aug 02
Grand Theft Auto: Episodes from Liberty City,Adventure,PS3,Rockstar Games,Rockstar North,N/A,2.09m,0.62m,0.99m,0.13m,0.34m,13th Apr 10
Rise of the Tomb Raider,Adventure,PS4,Square Enix,Crystal Dynamics,N/A,2.07m,0.61m,1.08m,0.05m,0.32m,11th Oct 16
Professor Layton and the Last Specter,Adventure,DS,Nintendo,Level 5,2.06m,N/A,N/A,N/A,N/A,N/A,17th Oct 11
Beyond: Two Souls,Adventure,PS3,Sony Computer Entertainment,Quantic Dream,2.00m,N/A,N/A,N/A,N/A,N/A,08th Oct 13
Leisure Suit Larry,Adventure,Series,Sierra Online,Sierra On-Line,2.00m,N/A,N/A,N/A,N/A,N/A,05th Jul 87
Silent Hill,Adventure,PS,Konami,KCET,2.00m,N/A,N/A,N/A,N/A,N/A,31st Jan 99
The 7th Guest,Adventure,PC,Virgin Interactive,Trilobyte,2.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Harry Potter and the Chamber of Secrets,Adventure,GBA,Electronic Arts,Eurocom Entertainment Software,N/A,1.99m,1.21m,0.64m,0.05m,0.09m,14th Nov 02
Harry Potter and the Chamber of Secrets,Adventure,PS,Electronic Arts,Argonaut Games,N/A,1.98m,0.75m,1.09m,0.02m,0.12m,14th Nov 02
Scooby Doo and the Cyber Chase,Adventure,PS,THQ,Art,N/A,1.94m,0.59m,1.23m,N/A,0.13m,04th Oct 01
Zork,Adventure,Series,Infocom,"Infocom, Inc.",1.93m,N/A,N/A,N/A,N/A,N/A,01st Dec 80
The Legend of Zelda: Oracle of Ages,Adventure,GBC,Nintendo,Flagship,N/A,1.92m,0.92m,0.53m,0.41m,0.06m,13th May 01
The Legend of Zelda: Oracle of Seasons,Adventure,GBC,Nintendo,Flagship,N/A,1.86m,0.87m,0.52m,0.41m,0.06m,13th May 01
Star Fox Adventures,Adventure,GC,Nintendo,Rare Ltd.,1.82m,N/A,N/A,N/A,N/A,N/A,22nd Sep 02
The Legend of Zelda: The Minish Cap,Adventure,GBA,Nintendo,Flagship,1.76m,N/A,N/A,N/A,N/A,N/A,10th Jan 05
Star Wars Episode I: The Phantom Menace,Adventure,PS,LucasArts,Big Ape Productions,N/A,1.74m,0.72m,0.89m,0.04m,0.10m,31st Aug 99
Metroid II: Return of Samus,Adventure,GB,Nintendo,Intelligent Systems,1.72m,N/A,N/A,N/A,N/A,N/A,26th Aug 91
"Monsters, Inc.",Adventure,GBA,THQ,Artificial Mind and Movement,N/A,1.67m,0.59m,0.95m,0.03m,0.10m,25th Oct 01
Prince of Persia: Warrior Within,Adventure,PS2,Ubisoft,Ubisoft Montreal,N/A,1.64m,0.54m,0.88m,N/A,0.22m,30th Nov 04
SpongeBob's Atlantis SquarePantis,Adventure,DS,THQ,Altron,N/A,1.61m,1.49m,0.00m,N/A,0.11m,23rd Oct 07
Metroid Fusion,Adventure,GBA,Nintendo,Nintendo R&D1,1.60m,N/A,N/A,N/A,N/A,N/A,17th Nov 02
L.A. Noire: The Complete Edition,Adventure,PC,Rockstar Games,Rockstar Leeds,1.60m,N/A,N/A,N/A,N/A,N/A,08th Nov 11
LEGO Harry Potter: Years 1-4,Adventure,X360,Warner Bros. Interactive,Traveller's Tales,N/A,1.59m,0.95m,0.50m,N/A,0.14m,29th Jun 10
Amnesia,Adventure,Series,Frictional Games,Frictional Games,1.58m,N/A,N/A,N/A,N/A,N/A,08th Sep 10
Disney Fairies: Tinker Bell,Adventure,DS,Disney Interactive Studios,Hyde,N/A,1.52m,0.85m,0.51m,0.01m,0.15m,28th Oct 08
Amerzone,Adventure,All,Ubisoft,Microids,1.50m,N/A,N/A,N/A,N/A,N/A,18th Oct 99
Ancestors: The Humankind Odyssey,Adventure,All,Private Division,Panache Digital Games,1.50m,N/A,N/A,N/A,N/A,N/A,27th Aug 19
Dracula: Resurrection,Adventure,Series,DreamCatcher Interactive,Index+,1.50m,N/A,N/A,N/A,N/A,N/A,01st Jun 00
Myst III: Exile,Adventure,All,Ubisoft,Presto Studios,1.50m,N/A,N/A,N/A,N/A,N/A,07th May 01
Rugrats: Search For Reptar,Adventure,PS,THQ,n-Space,1.50m,N/A,N/A,N/A,N/A,N/A,31st Oct 98
Runaway,Adventure,Series,Tri Synergy,Pendulo Studios,1.50m,N/A,N/A,N/A,N/A,N/A,20th Aug 03
Bratz: Forever Diamondz,Adventure,DS,THQ,Barking Lizards,N/A,1.48m,0.43m,0.88m,N/A,0.18m,18th Sep 06
Drawn To Life: SpongeBob SquarePants Edition,Adventure,DS,THQ,Altron,N/A,1.48m,0.99m,0.35m,N/A,0.14m,15th Sep 08
Assassin's Creed III: Liberation,Adventure,PSV,Ubisoft,Ubisoft,N/A,1.48m,0.53m,0.57m,0.06m,0.32m,30th Oct 12
Disney Princess: Magical Jewels,Adventure,DS,Disney Interactive Studios,1st Playable Productions,N/A,1.44m,1.12m,0.20m,N/A,0.12m,16th Oct 07
The Legend of Zelda: Twilight Princess,Adventure,GC,Nintendo,Nintendo EAD,1.43m,N/A,N/A,N/A,N/A,N/A,11th Dec 06
Super Metroid,Adventure,SNES,Nintendo,Intelligent Systems,1.42m,N/A,N/A,N/A,N/A,N/A,18th Apr 94
LEGO Indiana Jones 2: The Adventure Continues,Adventure,Wii,LucasArts,Traveller's Tales,N/A,1.41m,0.90m,0.38m,N/A,0.13m,17th Nov 09
LEGO Indiana Jones: The Original Adventures,Adventure,PS2,LucasArts,Traveller's Tales,N/A,1.37m,0.60m,0.01m,N/A,0.76m,03rd Jun 08
LEGO Harry Potter: Years 1-4,Adventure,PS3,Warner Bros. Interactive,Traveller's Tales,N/A,1.37m,0.55m,0.61m,N/A,0.21m,29th Jun 10
Amnesia: The Dark Descent,Adventure,All,Frictional Games,Frictional Games,1.36m,N/A,N/A,N/A,N/A,N/A,08th Sep 10
The Legend of Zelda: Tri Force Heroes,Adventure,3DS,Nintendo,GREZZO,1.36m,N/A,N/A,N/A,N/A,N/A,23rd Oct 15
Disney Princess: Enchanted Journey,Adventure,Wii,Disney Interactive Studios,Papaya Studios,N/A,1.35m,1.22m,0.03m,N/A,0.10m,30th Oct 07
The ICO & Shadow of the Colossus Collection,Adventure,PS3,Sony Computer Entertainment,Bluepoint Games,N/A,1.34m,0.67m,0.36m,0.13m,0.18m,27th Sep 11
Grand Theft Auto: Chinatown Wars,Adventure,DS,Rockstar Games,Rockstar Leeds/North,N/A,1.33m,0.58m,0.56m,0.05m,0.14m,17th Mar 09
Rugrats Studio Tour,Adventure,PS,THQ,n-Space,N/A,1.31m,0.57m,0.67m,N/A,0.07m,10th Nov 99
LEGO Batman: The Videogame,Adventure,PS3,Warner Bros. Interactive,Traveller's Tales,N/A,1.31m,0.72m,0.39m,N/A,0.19m,23rd Sep 08
LEGO Batman: The Videogame,Adventure,PSP,Warner Bros. Interactive,Traveller's Tales,N/A,1.30m,0.57m,0.46m,N/A,0.27m,23rd Sep 08
The Longest Journey,Adventure,Series,Tri Synergy,Funcom,1.30m,N/A,N/A,N/A,N/A,N/A,16th Nov 00
LEGO Batman: The Videogame,Adventure,PS2,Warner Bros. Interactive,Traveller's Tales,N/A,1.27m,0.72m,0.03m,N/A,0.52m,23rd Sep 08
Metal Gear Solid Integral,Adventure,PS,Konami,Konami,1.27m,N/A,N/A,N/A,N/A,N/A,26th Jun 99
Tomb Raider: Underworld,Adventure,PS3,Eidos Interactive,Crystal Dynamics,N/A,1.26m,0.45m,0.55m,0.05m,0.21m,18th Nov 08
PokéPark Wii: Pikachu's Adventure,Adventure,Wii,Nintendo,Creatures Inc.,1.25m,N/A,N/A,N/A,N/A,N/A,02nd Nov 10
Parfait: Chocolat Second Style,Adventure,PS2,Alchemist,Alchemist,N/A,1.22m,0.59m,0.46m,0.01m,0.15m,29th Jun 06
Minecraft: Story Mode,Adventure,X360,Mojang,Telltale Games,N/A,1.20m,0.67m,0.42m,N/A,0.11m,27th Oct 15
Shenmue,Adventure,DC,Sega,Sega-AM2,1.20m,N/A,N/A,N/A,N/A,N/A,07th Nov 00
Space Quest,Adventure,Series,Sierra Online,Sierra On-Line,1.20m,N/A,N/A,N/A,N/A,N/A,01st Oct 86
Scarface: The World is Yours,Adventure,PS2,Sierra Entertainment,Radical Entertainment,N/A,1.19m,0.99m,0.04m,N/A,0.16m,08th Oct 06
LEGO Indiana Jones 2: The Adventure Continues,Adventure,DS,LucasArts,Traveller's Tales,N/A,1.19m,0.65m,0.43m,N/A,0.12m,17th Nov 09
Metal Gear Solid VR Missions,Adventure,PS,Konami,Konami Computer Entertainment Japan,N/A,1.18m,0.66m,0.45m,N/A,0.08m,24th Sep 99
LEGO Indiana Jones: The Original Adventures,Adventure,PSP,LucasArts,Traveller's Tales,N/A,1.18m,0.40m,0.49m,N/A,0.30m,03rd Jun 08
Mystery Case Files: MillionHeir,Adventure,DS,Nintendo,Big Fish Games,1.18m,N/A,N/A,N/A,N/A,N/A,08th Sep 08
Stranded Deep,Adventure,PC,Unknown,Beam Team Games,1.15m,N/A,N/A,N/A,N/A,N/A,N/A
Shadow of the Colossus,Adventure,PS2,Sony Computer Entertainment,Team ICO,N/A,1.14m,0.78m,0.03m,0.20m,0.13m,18th Oct 05
Grand Theft Auto: The Trilogy,Adventure,PS2,Rockstar Games,Rockstar North,N/A,1.14m,N/A,0.51m,N/A,0.62m,20th Nov 05
Rabbids Go Home,Adventure,Wii,Ubisoft,Ubisoft Montpellier,N/A,1.13m,0.25m,0.74m,N/A,0.14m,03rd Nov 09
Alien: Isolation,Adventure,PS4,Sega,Creative Assembly,N/A,1.09m,0.29m,0.59m,0.05m,0.16m,07th Oct 14
Grand Theft Auto: Chinatown Wars,Adventure,PSP,Rockstar Games,Rockstar Leeds,N/A,1.08m,0.28m,0.50m,0.03m,0.27m,20th Oct 09
Prince of Persia,Adventure,PS3,Ubisoft,Ubisoft Montreal,N/A,1.07m,0.47m,0.41m,0.03m,0.17m,02nd Dec 08
MySims Agents,Adventure,DS,Electronic Arts,EA Redwood Shores,N/A,1.07m,0.54m,0.42m,0.00m,0.11m,29th Sep 09
Tomb Raider: Underworld,Adventure,X360,Eidos Interactive,Crystal Dynamics,N/A,1.07m,0.53m,0.42m,0.01m,0.11m,18th Nov 08
Endless Ocean,Adventure,Wii,Nintendo,Arika,N/A,1.06m,0.43m,0.46m,0.09m,0.09m,21st Jan 08
Brothers: A Tale of Two Sons,Adventure,PC,505 Games,Starbreeze Studios,1.06m,N/A,N/A,N/A,N/A,N/A,03rd Sep 13
MySims Agents,Adventure,Wii,Electronic Arts,EA Redwood Shores,N/A,1.05m,0.63m,0.32m,0.00m,0.10m,29th Sep 09
Legacy of Kain: Soul Reaver,Adventure,PS,Eidos Interactive,Crystal Dynamics,N/A,1.04m,0.58m,0.40m,N/A,0.07m,16th Aug 99
LEGO Indiana Jones: The Original Adventures,Adventure,PS3,LucasArts,Traveller's Tales,N/A,1.03m,0.44m,0.43m,N/A,0.17m,03rd Jun 08
Disney Fairies: Tinker Bell and the Lost Treasure,Adventure,DS,Disney Interactive Studios,Hyde,N/A,1.03m,0.57m,0.35m,0.02m,0.10m,27th Oct 09
LEGO Indiana Jones 2: The Adventure Continues,Adventure,X360,LucasArts,Traveller's Tales,N/A,1.02m,0.62m,0.31m,N/A,0.09m,17th Nov 09
Harry Potter and the Prisoner of Azkaban,Adventure,PS2,Electronic Arts,Electronic Arts,N/A,1.02m,0.50m,0.39m,N/A,0.13m,02nd Jun 04
The Wolf Among Us,Adventure,PC,Unknown,Telltale Games,1.01m,N/A,N/A,N/A,N/A,N/A,N/A
Prince of Persia,Adventure,X360,Ubisoft,Ubisoft Montreal,N/A,1.01m,0.54m,0.34m,0.02m,0.10m,02nd Dec 08
13 Sentinels: Aegis Rim,Adventure,All,Sega,Vanillaware,1.00m,N/A,N/A,N/A,N/A,N/A,22nd Sep 20
Adventure,Adventure,2600,Atari,Atari,1.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 78
Atlantis,Adventure,Series,Interplay Productions,Cryo Interactive,1.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 97
Blade Runner,Adventure,PC,Virgin Interactive,Westwood Studios,1.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 97
Broken Sword: The Shadow of the Templars,Adventure,All,Virgin Interactive,Revolution Software,1.00m,N/A,N/A,N/A,N/A,N/A,30th Sep 96
Danganronpa 2: Goodbye Despair,Adventure,PC,Spike Chunsoft,Spike Chunsoft,1.00m,N/A,N/A,N/A,N/A,N/A,18th Apr 16
Danganronpa: Trigger Happy Havoc,Adventure,PC,Spike Chunsoft,Spike Chunsoft,1.00m,N/A,N/A,N/A,N/A,N/A,18th Feb 16
Disney's Animated Storybook: The Lion King,Adventure,PC,Disney Interactive Studios,Media Station,1.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 94
Don't Starve,Adventure,PC,Klei Entertainment,Klei Entertainment,1.00m,N/A,N/A,N/A,N/A,N/A,23rd Apr 13
DREDGE,Adventure,All,Team17,Black Salt Games,1.00m,N/A,N/A,N/A,N/A,N/A,30th Mar 23
Full Throttle,Adventure,PC,LucasArts,LucasArts,1.00m,N/A,N/A,N/A,N/A,N/A,30th Apr 95
GRIS,Adventure,All,Devolver Digital,Nomada Studio,1.00m,N/A,N/A,N/A,N/A,N/A,13th Dec 18
Indiana Jones and the Fate of Atlantis,Adventure,PC,LucasArts,LucasArts,1.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 92
Needy Streamer Overload,Adventure,All,WSS playground,WSS playground,1.00m,N/A,N/A,N/A,N/A,N/A,21st Jan 22
Oxenfree,Adventure,All,Night School Studio,Night School Studio,1.00m,N/A,N/A,N/A,N/A,N/A,15th Jan 16
Phantasmagoria,Adventure,All,Sierra Online,Sierra On-Line,1.00m,N/A,N/A,N/A,N/A,N/A,24th Aug 95
Putt-Putt,Adventure,Series,Humongous Entertainment,Humongous Entertainment,1.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 93
Return to Zork,Adventure,All,Infocom,Activision,1.00m,N/A,N/A,N/A,N/A,N/A,15th Sep 93
Rise of the Tomb Raider,Adventure,XOne,Square Enix,Crystal Dynamics,1.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15
The Great Ace Attorney Chronicles,Adventure,All,Capcom,Capcom,1.00m,N/A,N/A,N/A,N/A,N/A,27th Jul 21
The Stanley Parable,Adventure,PC,Galactic Cafe,Galactic Cafe,1.00m,N/A,N/A,N/A,N/A,N/A,17th Oct 13
The Vanishing of Ethan Carter,Adventure,All,The Astronauts,The Astronauts,1.00m,N/A,N/A,N/A,N/A,N/A,26th Sep 14
Apollo Justice: Ace Attorney,Adventure,DS,Capcom,Capcom,N/A,0.99m,0.28m,0.05m,0.64m,0.03m,19th Feb 08
Gangs of London,Adventure,PSP,Sony Computer Entertainment,SCEE London Studio,N/A,0.96m,0.30m,0.43m,N/A,0.22m,03rd Oct 06
Scooby-Doo! First Frights,Adventure,Wii,Warner Bros. Interactive,Torus Games,N/A,0.96m,0.84m,0.04m,N/A,0.07m,22nd Sep 09
Tom Clancy's Splinter Cell: Chaos Theory,Adventure,PS2,Ubisoft,Ubisoft Montreal / Annecy,N/A,0.95m,0.36m,0.45m,N/A,0.14m,28th Mar 05
Destroy All Humans!,Adventure,PS2,THQ,Pandemic Studios,N/A,0.94m,0.78m,0.03m,N/A,0.13m,21st Jun 05
Prince of Persia: The Sands of Time,Adventure,XB,Ubisoft,Ubisoft Montreal,N/A,0.94m,0.57m,0.33m,N/A,0.04m,12th Nov 03
Monster High: Ghoul Spirit,Adventure,DS,THQ,THQ,N/A,0.93m,0.69m,0.16m,N/A,0.07m,25th Oct 11
Phoenix Wright: Ace Attorney,Adventure,DS,Capcom,Capcom,N/A,0.93m,0.44m,0.05m,0.39m,0.05m,12th Oct 05
Assassin's Creed,Adventure,PC,Ubisoft,Ubisoft Montreal,N/A,0.91m,0.01m,0.84m,N/A,0.06m,08th Apr 08
LEGO Indiana Jones 2: The Adventure Continues,Adventure,PS3,LucasArts,Traveller's Tales,N/A,0.90m,0.47m,0.30m,N/A,0.13m,17th Nov 09
Minecraft: Story Mode,Adventure,PS3,Mojang,Telltale Games,N/A,0.89m,0.32m,0.43m,N/A,0.15m,27th Oct 15
Classic NES Series: The Legend of Zelda,Adventure,GBA,Nintendo,Nintendo,N/A,0.89m,0.46m,0.17m,0.24m,0.02m,02nd Jun 04
CSI: Hard Evidence,Adventure,Wii,Ubisoft,Telltale Games,N/A,0.89m,0.36m,0.43m,N/A,0.10m,15th Jan 08
Minecraft: Story Mode,Adventure,PS4,Mojang,Telltale Games,N/A,0.87m,0.31m,0.42m,N/A,0.14m,27th Oct 15
HuniePop,Adventure,PC,Unknown,HuniePot,0.86m,N/A,N/A,N/A,N/A,N/A,N/A
Harry Potter and the Order of the Phoenix,Adventure,DS,Electronic Arts,Visual Impact,N/A,0.84m,0.28m,0.46m,N/A,0.10m,25th Jun 07
Metroid: Zero Mission,Adventure,GBA,Nintendo,Nintendo R&D1,N/A,0.84m,0.60m,0.22m,N/A,0.01m,09th Feb 04
Scooby-Doo! First Frights,Adventure,DS,Warner Bros. Interactive,Torus Games,N/A,0.83m,0.60m,0.16m,N/A,0.07m,22nd Sep 09
Mega Man Legends,Adventure,PS,Capcom,Capcom,N/A,0.83m,0.39m,0.26m,0.12m,0.05m,31st Aug 98
MediEvil,Adventure,PS,Sony Computer Entertainment,SCEE Cambridge,N/A,0.83m,0.46m,0.31m,N/A,0.05m,01st Oct 98
Casper,Adventure,PS,Interplay,Funcom,N/A,0.83m,0.46m,0.31m,N/A,0.05m,17th Sep 96
